City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Snow,Rain,Country,Current Description,Date
0,Henties Bay,-22.12,14.28,60.01,89,0,3.0,0.0,0.0,NA,clear sky,2019-11-09 18:27:19
1,Bethel,60.79,-161.76,26.6,92,1,11.41,0.0,0.0,US,clear sky,2019-11-09 18:27:20
2,Saint-Francois,46.42,3.91,39.2,93,90,3.36,0.0,0.0,FR,overcast clouds,2019-11-09 18:27:20
3,Ushuaia,-54.81,-68.31,44.6,52,40,9.17,0.0,0.0,AR,scattered clouds,2019-11-09 18:26:33
4,Mar Del Plata,-46.43,-67.52,52.52,44,0,13.8,0.0,0.0,AR,clear sky,2019-11-09 18:27:20
5,Kruisfontein,-34.0,24.73,59.31,78,100,16.51,0.0,0.0,ZA,overcast clouds,2019-11-09 18:23:53
6,Bronnoysund,65.46,12.2,23.0,62,0,10.29,0.0,0.0,NO,clear sky,2019-11-09 18:27:21
7,Yumen,40.29,97.04,32.97,34,0,12.39,0.0,0.0,CN,clear sky,2019-11-09 18:27:21
8,Albany,42.65,-73.75,37.99,44,40,10.29,0.0,0.0,US,scattered clouds,2019-11-09 18:27:19
9,Dikson,73.51,80.55,1.63,96,77,5.59,0.0,0.0,RU,broken clouds,2019-11-09 18:22:42
10,Ossora,59.24,163.07,35.8,81,96,5.84,0.25,0.0,RU,light snow,2019-11-09 18:27:22
11,Vaini,15.34,74.49,67.87,92,14,1.99,0.0,0.0,IN,few clouds,2019-11-09 18:27:22
12,Castro,-42.48,-73.76,66.2,52,82,6.93,0.0,0.0,CL,broken clouds,2019-11-09 18:27:22
13,Vanimo,-2.67,141.3,82.24,77,100,8.05,0.0,4.19,PG,moderate rain,2019-11-09 18:27:23
14,San Cristobal,14.68,-86.92,75.2,70,90,7.05,0.0,0.13,HN,light rain,2019-11-09 18:23:04
15,Ulladulla,-35.36,150.48,59.0,44,67,17.22,0.0,0.0,AU,broken clouds,2019-11-09 18:23:40
16,Ewa Beach,21.32,-158.01,77.0,73,75,3.36,0.0,0.0,US,broken clouds,2019-11-09 18:27:11
17,Bluff,-23.58,149.07,60.48,24,0,8.1,0.0,0.0,AU,clear sky,2019-11-09 18:27:24
18,Maldonado,-34.91,-54.96,71.6,46,40,14.99,0.0,0.0,UY,scattered clouds,2019-11-09 18:23:26
19,Mataura,-46.19,168.86,48.99,92,100,5.01,0.0,10.13,NZ,moderate rain,2019-11-09 18:27:24
20,Jamestown,-33.21,138.6,43.21,93,0,4.63,0.0,0.0,AU,clear sky,2019-11-09 18:27:24
21,Geraldton,49.72,-86.95,19.4,79,90,4.45,0.0,0.0,CA,light snow,2019-11-09 18:27:24
22,Punta Arenas,-53.16,-70.91,46.4,48,0,13.87,0.0,0.0,CL,clear sky,2019-11-09 18:23:30
23,Mitu,36.2,46.09,42.67,30,0,6.58,0.0,0.0,IR,clear sky,2019-11-09 18:27:25
