City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Henties Bay,,60.01,clear sky,-22.12,14.28,Fishermans Guest House
3,Ushuaia,AR,44.6,scattered clouds,-54.81,-68.31,Albatros Hotel
4,Mar Del Plata,AR,52.52,clear sky,-46.43,-67.52,Hotel Costanera Del Sur
5,Kruisfontein,ZA,59.31,overcast clouds,-34.0,24.73,Oyster Bay House Rental
11,Vaini,IN,67.87,few clouds,15.34,74.49,Dandeli Lake County
12,Castro,CL,66.2,broken clouds,-42.48,-73.76,Hotel Esmeralda
15,Ulladulla,AU,59.0,broken clouds,-35.36,150.48,Sandpiper Motel
16,Ewa Beach,US,77.0,broken clouds,21.32,-158.01,Parkside By Gentry
17,Bluff,AU,60.48,clear sky,-23.58,149.07,Bluff Hotel
18,Maldonado,UY,71.6,scattered clouds,-34.91,-54.96,Joan Miro Hotel
20,Jamestown,AU,43.21,clear sky,-33.21,138.6,Jamestown Motel Terraces
22,Punta Arenas,CL,46.4,clear sky,-53.16,-70.91,Hotel Dreams Del Estrecho
23,Mitu,IR,42.67,clear sky,36.2,46.09,
24,Bredasdorp,ZA,64.99,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
25,Port Alfred,ZA,66.0,overcast clouds,-33.59,26.89,The Halyards Hotel
26,Busselton,AU,66.99,clear sky,-33.64,115.35,Observatory Guest House
28,Sitka,US,73.99,clear sky,37.17,-99.65,
30,Yuma,US,84.0,clear sky,32.73,-114.62,Best Western Yuma Mall Hotel & Suites
31,Luanda,AO,82.4,scattered clouds,-8.83,13.24,EPIC SANA Luanda
33,Atuona,PF,79.32,clear sky,-9.8,-139.03,Villa Enata
35,Marrakesh,MA,64.4,broken clouds,31.63,-7.99,Les Jardins de La Koutoubia
37,Makakilo City,US,77.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
38,East London,ZA,64.4,scattered clouds,-33.02,27.91,Tu Casa
40,Lyman,UA,50.05,clear sky,48.98,37.82,Zorya
43,Chuy,UY,72.0,overcast clouds,-33.69,-53.46,Nuevo Hotel Plaza
44,New Norfolk,AU,48.99,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
45,Broken Hill,AU,53.6,clear sky,-31.97,141.45,Royal Exchange Hotel
46,Ribas Do Rio Pardo,BR,87.55,overcast clouds,-20.45,-53.76,Hotel Curaçau
